CASEID,HELPFUL,FAIR,TRUST,YEAR,AGE,SEX,RACE,HISPANIC,EDUC,DEGREE,MARITAL
  387,2,1,2,1972,40,1,1, 0, 7,0,1
  388,1,2,1,1972,48,1,1, 0,14,1,1
  389,1,3,2,1972,47,2,1, 0, 6,0,1
  390,1,2,3,1972,31,1,1, 0,14,1,1
  391,2,1,3,1972,21,1,2, 0,13,1,5
  392,2,1,2,1972,84,2,2, 0, 8,0,2
  393,1,2,2,1972,61,2,2, 0, 9,0,2
  394,1,2,2,1972,46,2,2, 0,13,1,4
  395,1,2,2,1972,39,2,2, 0,16,3,4
  396,2,1,2,1972,64,2,2, 0,11,0,3
  397,2,2,1,1972,77,1,2, 0, 4,0,1
  398,2,1,2,1972,25,1,2, 0,14,1,5
  399,2,1,2,1972,53,1,2, 0, 7,0,4
  400,2,2,2,1972,52,1,2, 0,10,0,1
  401,3,1,2,1972,71,1,1, 0, 6,0,5
  402,1,8,1,1972,52,1,1, 0, 8,0,1
  403,1,2,1,1972,57,1,1, 0, 7,0,1
  404,1,2,1,1972,69,2,1, 0, 8,0,1
  405,1,2,1,1972,74,2,1, 0, 9,0,1
  406,1,2,1,1972,58,2,1, 0,12,1,1
  407,2,1,2,1972,23,2,1, 0,12,1,1
  408,2,1,2,1972,61,2,1, 0, 8,0,1
  409,2,2,2,1972,60,2,1, 0,11,0,2
  410,1,2,2,1972,36,2,1, 0, 8,0,1
  411,1,2,1,1972,58,1,1, 0,17,4,1
  412,2,2,1,1972,28,1,1, 0, 4,0,1
  413,2,2,1,1972,29,1,1, 0, 2,0,1
  414,1,2,2,1972,25,1,1, 0,11,0,1
  415,2,2,1,1972,57,1,1, 0,12,1,5
  416,1,2,1,1972,26,2,1, 0,12,1,1
  417,1,1,2,1972,55,1,1, 0,11,0,1
  418,1,1,2,1972,29,2,1, 0,17,3,5
  419,2,1,2,1972,68,2,1, 0, 7,0,1
  420,3,3,2,1972,18,2,1, 0,12,1,5
  421,2,1,2,1972,49,1,1, 0,10,0,1
  422,1,2,1,1972,64,1,1, 0,12,1,1
  423,2,2,1,1972,38,1,1, 0,12,1,1
  424,2,2,2,1972,30,1,1, 0, 9,0,1
  425,1,2,2,1972,56,2,1, 0,10,0,2
  426,1,2,2,1972,20,2,1, 0,12,1,1
  427,2,1,2,1972,19,1,1, 0,12,1,5
  428,2,1,2,1972,50,2,1, 0, 9,0,1
  429,3,3,3,1972,38,1,1, 0,14,1,1
  430,2,2,2,1972,64,2,1, 0,12,1,1
  431,2,1,2,1972,74,2,1, 0,11,0,1
  432,1,2,1,1972,75,2,1, 0,12,1,2
  433,3,3,2,1972,22,1,1, 0,11,1,5
  434,1,2,1,1972,75,1,1, 0, 8,0,2
  435,2,1,2,1972,23,2,1, 0,16,3,5
  436,1,2,1,1972,79,2,1, 0,12,1,2
  437,1,2,1,1972,60,1,1, 0, 7,0,1
  438,2,1,1,1972,26,1,1, 0,15,1,1
  439,2,2,1,1972,63,1,1, 0,12,1,1
  440,1,2,2,1972,63,2,1, 0, 9,0,1
  441,1,2,3,1972,34,2,1, 0,12,1,1
  442,2,2,2,1972,33,1,1, 0, 9,0,1
  443,1,2,1,1972,53,1,1, 0,12,1,1
  444,2,2,2,1972,78,1,1, 0,15,1,1
  445,2,2,2,1972,22,2,1, 0,11,0,1
  446,2,2,1,1972,32,1,1, 0,10,0,5
  447,2,2,1,1972,27,1,2, 0,13,1,5
  448,1,2,1,1972,35,2,2, 0,15,1,1
  449,2,1,1,1972,39,2,2, 0,12,1,1
  450,8,3,2,1972,24,2,2, 0,14,2,1
